,Name,Artist,Weeks.on.chart,Peak.position
515,Castle On The Hill,Ed Sheeran,33.0,6.0
518,Catch My Breath,Kelly Clarkson,24.0,19.0
519,Caught Out There,Kelis,12.0,54.0
520,Caught Up,Usher,27.0,8.0
521,Cecilia And The Satellite,Andrew Mcmahon In The Wilderness,3.0,96.0
523,Celebrity,Brad Paisley,20.0,31.0
524,Centuries,Fall Out Boy,34.0,10.0
525,Chain Hang Low,Jibbs,20.0,7.0
526,Chains,Nick Jonas,20.0,13.0
528,Chandelier,Sia,46.0,8.0
530,Change,Taylor Swift,3.0,10.0
532,Change Locations,"Drake, Future",3.0,82.0
533,Change Your Mind,Sister Hazel,20.0,59.0
534,Changed,Rascal Flatts,8.0,73.0
535,Changes,Xxxtentacion,20.0,18.0
536,Chariot,Gavin Degraw,20.0,30.0
537,Charlene,Anthony Hamilton,22.0,19.0
538,Chasing Cars,Snow Patrol,45.0,5.0
539,Chasing Pavements,Adele,7.0,21.0
540,Chasing The Sun,The Wanted,15.0,50.0
541,Cheap Thrills,Sia,52.0,1.0
543,Check It Out,"Will.I.Am, Nicki Minaj",15.0,24.0
544,Check My Brain,Alice In Chains,4.0,92.0
545,Chicken Fried,Zac Brown Band,25.0,20.0
547,Chillin' It,Cole Swindell,20.0,28.0
549,Chocolate,The 1975,6.0,80.0
550,Christmas Lights,Coldplay,3.0,25.0
551,Church Bells,Carrie Underwood,17.0,43.0
552,Circle,Marques Houston,6.0,78.0
553,Circus,Britney Spears,22.0,3.0
554,Citizen/Soldier,3 Doors Down,2.0,96.0
555,Clap Back,Ja Rule,10.0,44.0
556,Classic,Mkto,27.0,14.0
557,Cleanin' Out My Closet,Eminem,20.0,4.0
558,Climax,Usher,20.0,17.0
559,Clint Eastwood,Gorillaz,11.0,57.0
560,Clocks,Coldplay,22.0,29.0
561,Close Your Eyes,Parmalee,16.0,69.0
562,Closer,Tegan And Sara,3.0,90.0
563,Closer To Love,Mat Kearney,7.0,91.0
565,Clouds,Zach Sobiech,2.0,26.0
566,Clumsy,Fergie,25.0,5.0
567,Cochise,Audioslave,15.0,69.0
568,Coco,O.T. Genasis,20.0,20.0
569,Coffee,Miguel,3.0,78.0
570,Cold,Crossfade,23.0,81.0
571,Cold Hard Bitch,Jet,20.0,55.0
572,Cold One,Eric Church,6.0,88.0
574,Colder Weather,Zac Brown Band,20.0,29.0
575,Collide,Howie Day,32.0,20.0
576,Come A Little Closer,Dierks Bentley,20.0,31.0
577,Come Back Song,Darius Rucker,20.0,37.0
579,Come Back To Me,David Cook,19.0,63.0
580,Come Back To Me,Vanessa Hudgens,19.0,55.0
581,Come Clean,Hilary Duff,13.0,35.0
582,Come Get Her,Rae Sremmurd,19.0,56.0
584,Come On Get Higher,Matt Nathanson,20.0,59.0
585,Come On Over,Shania Twain,10.0,58.0
587,Come Over,Kenny Chesney,20.0,23.0
589,Come Wake Me Up,Rascal Flatts,20.0,52.0
590,Come With Me Now,Kongos,21.0,31.0
591,Comfortable,K Camp,15.0,54.0
592,Comin' To Your City,"Big, Rich",6.0,72.0
593,Coming Undone,Korn,6.0,79.0
594,Company,Justin Bieber,12.0,53.0
595,Complicated,Avril Lavigne,31.0,2.0
596,Concrete Angel,Martina Mcbride,19.0,47.0
597,Confession,Florida Georgia Line,20.0,53.0
599,Confessions Part Ii,Usher,25.0,1.0
600,Confident,Demi Lovato,20.0,21.0
601,Consequences,Camila Cabello,12.0,51.0
602,Control,Puddle Of Mudd,20.0,68.0
603,Controlla,Drake,26.0,16.0
604,Cool,Gwen Stefani,20.0,13.0
605,Cool,Jonas Brothers,12.0,27.0
606,Cool For The Summer,Demi Lovato,20.0,11.0
607,Cool Girl,Tove Lo,5.0,84.0
608,Cool Kids,Echosmith,23.0,13.0
609,Cop Car,Keith Urban,18.0,41.0
610,Cost Of Livin',Ronnie Dunn,8.0,86.0
611,Cough Syrup,Young The Giant,3.0,95.0
612,Could It Be,Jaheim,20.0,26.0
613,Counting Stars,Onerepublic,68.0,2.0
614,Country Boy,Alan Jackson,19.0,49.0
615,Country Man,Luke Bryan,9.0,74.0
616,Country Must Be Country Wide,Brantley Gilbert,21.0,50.0
617,Country Song,Seether,18.0,72.0
618,Cowboy,Kid Rock,5.0,82.0
619,Cowboy Casanova,Carrie Underwood,20.0,11.0
620,Cowboys And Angels,Dustin Lynch,22.0,40.0
621,Cowboys Like Us,George Strait,19.0,38.0
622,Cowgirls Don'T Cry,"Brooks, Dunn",20.0,44.0
623,Cozy Little Christmas,Katy Perry,2.0,53.0
624,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",17.0,1.0
625,Crash,Gwen Stefani,8.0,49.0
626,Crash And Burn,Savage Garden,20.0,24.0
627,Crash And Burn,Thomas Rhett,20.0,36.0
628,Crash My Party,Luke Bryan,21.0,18.0
629,Crawl,Chris Brown,9.0,53.0
